#SampleID	TypeExp	Unique	SamplePlotName	Species	Genus	PutativeStatus	SourceID	SourceIDfig	PMFID	Harvest	MiSeqRun	MiSeqRunPlace	SourceType	SourceStatus	TurtleID	Locality	SourceSampleDate	CultureIsolationDate	CultureDNAHarvestDate	MrDNASample	BarcodeSequence	LinkerPrimerSequence	BarcodeName	ProjectName	Region16SrRNA	Primers
KF0150-1	monoculture	KF0150	DM0150	Achnanthes squaliformis	Achnanthes	epizoic	TB139	TB139	PMFTB0150	1st	third	Microsynth	carapace	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-10-30	2020-11-07	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0150-3	monoculture	KF0150	DM0150	Achnanthes squaliformis	Achnanthes	epizoic	TB139	TB139	PMFTB0150	3rd	third	Microsynth	carapace	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-10-30	2020-12-05	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0168-2	monoculture	KF0168	DM0168	Achnanthes elongata	Achnanthes	epizoic	TB155	TB155	PMFTB0168	2nd	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-03	2020-11-29	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0168-3	monoculture	KF0168	DM0168	Achnanthes elongata	Achnanthes	epizoic	TB155	TB155	PMFTB0168	3rd	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-03	2020-12-05	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0170-2	monoculture	KF0170	DM0170	Achnanthes elongata	Achnanthes	epizoic	TB155	TB155	PMFTB0170	2nd	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-11-21	2020-11-15	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0170-3	monoculture	KF0170	DM0170	Achnanthes elongata	Achnanthes	epizoic	TB155	TB155	PMFTB0170	3rd	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-11-21	2020-11-29	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0177-2	monoculture	KF0177	DM0177	Achnanthes squaliformis	Achnanthes	epizoic	TB139	TB139	PMFTB0177	2nd	third	Microsynth	carapace	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-12-18	2020-11-07	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0177-3	monoculture	KF0177	DM0177	Achnanthes squaliformis	Achnanthes	epizoic	TB139	TB139	PMFTB0177	3rd	third	Microsynth	carapace	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-12-18	2020-11-21	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0178-2	monoculture	KF0178	DM0178	Nitzschia sp.	Nitzschia	non-epizoic	TB140	TB140	PMFTB0178	2nd	third	Microsynth	skin	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-12-18	2020-11-21	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0178-3	monoculture	KF0178	DM0178	Nitzschia sp.	Nitzschia	non-epizoic	TB140	TB140	PMFTB0178	3rd	third	Microsynth	skin	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-12-18	2020-11-29	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0179-2	monoculture	KF0179	DM0179	Entomoneis sp.	Entomoneis	non-epizoic	TB140	TB140	PMFTB0179	2nd	third	Microsynth	skin	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-12-18	2020-11-07	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0179-3	monoculture	KF0179	DM0179	Entomoneis sp.	Entomoneis	non-epizoic	TB140	TB140	PMFTB0179	3rd	third	Microsynth	skin	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-12-18	2020-11-21	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0181-2	monoculture	KF0181	DM0181	Psammodictyon panduriforme 1	Psammodictyon	non-epizoic	TB155	TB155	PMFTB0181	2nd	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-18	2020-11-15	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0181-3	monoculture	KF0181	DM0181	Psammodictyon panduriforme 1	Psammodictyon	non-epizoic	TB155	TB155	PMFTB0181	3rd	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-18	2020-11-29	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0182-1	monoculture	KF0182	DM0182	Amphora sp. 2	Amphora	non-epizoic	TB155	TB155	PMFTB0182	1st	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-18	2020-12-05	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0182-2	monoculture	KF0182	DM0182	Amphora sp. 2	Amphora	non-epizoic	TB155	TB155	PMFTB0182	2nd	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-18	2020-12-11	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0183-1	monoculture	KF0183	DM0183	Psammodictyon panduriforme 2	Psammodictyon	non-epizoic	TB155	TB155	PMFTB0183	1st	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-18	2020-11-01	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0183-2	monoculture	KF0183	DM0183	Psammodictyon panduriforme 2	Psammodictyon	non-epizoic	TB155	TB155	PMFTB0183	2nd	third	Microsynth	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-18	2020-11-29	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
